id,name,synonyms
9910004,Boat Dealer,['Boat Sales']
9362032,Boat Launching Ramp,[]
9361083,Boating Equipment & Accessories,"['Boating Equipment', 'Boating Accessories']"
7310002,Bodyshop,"['Panel Beater', 'Body Shop', 'Car Body Shop', 'Car Bodyshop', 'Panelbeaters']"
7315088,Bolivian Restaurant,"['Bolivian Cuisine', 'Bolivian Food']"
9361002,Book Shop,"['Book Seller', 'Book Store']"
7315089,Bosnian Restaurant,"['Bosnian Cuisine', 'Bosnian Food']"
9378002,Bowling Center,"['Bowling Centre', 'Bowling Alley']"
7315072,Brazilian Restaurant,"['Brazilian Cuisine', 'Brazilian Food']"
7376010,Bridge,[]
9352035,Bridge & Tunnel Operations,[]
7315008,British Restaurant,"['British Food', 'British Cuisine']"
7315142,Buffet Restaurant,['Buffet']
7376002,Building,[]
7315090,Bulgarian Restaurant,"['Bulgarian Food', 'Bulgarian Cuisine']"
7304004,Bungalow Rental,"['Crib Rental', 'Batch Rental']"
7315091,Burmese Restaurant,"['Burmese Food', 'Burmese Cuisine']"
9910008,Bus Dealer,"['Coach Dealer', 'Bus Sales']"
9352025,Bus Charter Company,"['Bus Hire Company', 'Bus Rental Company', 'Bus Charter', 'Bus Hire', 'Bus Rental']"
9352027,Bus Lines,"['Local Bus Services', 'Bus Route', 'Bus Services', 'Local Buses']"
9942002,Bus Stop,[]
9352039,Business Services,[]
7318006,Cabaret Theater,"['Cabaret', 'Cabaret Theatre']"
7314007,Cabins & Lodges,"['Lodge', 'Lodges', 'Cabins', 'Cabin', 'Hut']"
9352040,Cable & Telephone Company,"['Telecommunications Company', 'Telecoms Company', 'Cable Company', 'Telephone Company']"
9376002,Café,['Cafe']
7315147,Cafeteria,['Cafetaria']
7315009,Californian Restaurant,"['Californian Cuisine', 'Californian Food']"
7315092,Cambodian Restaurant,"['Cambodian Cuisine', 'Cambodian Food']"
7315010,Canadian Restaurant,"['Canadian Cuisine', 'Canadian Food']"
8099020,Cape,[]
9910002,Car Dealer,['Car Dealership']
7310003,Car Glass Replacement Shop,"['Windscreen Repair', 'Auto Glass Repair', 'Auto Glass Replacement', 'Car Glass Replacement', 'Car Glass Repair', 'Window Replacement', 'Windshield Repair']"
9155002,Car Wash,"['Carwash', 'Auto Wash']"
7360003,Caravan Site,"['RV Park', 'Camper Van', 'Mobile Park', 'Caravan Park', 'Mobile Home Park', 'Trailer Park']"
7315011,Caribbean Restaurant,"['Caribbean Food', 'Caribbean Cuisine']"
9352043,Catering Services,"['Caterers', 'Catering']"
8099003,Cave,['Cavern']
9361003,"CDs, DVD & Videos","['Video Shop', 'CD Store', 'CD Shop', 'Video Store', 'DVD Store', 'DVD Shop', 'Video Centre']"
9361044,Video Rental Shop,"['Video Rental', 'Video & Game Rental', 'Video and Game Rental', 'Video Rental Store', 'Video Parlour', 'Video Store']"
9362003,Cemetery,[]
7304005,Chalet Rental,[]
9352014,Chemical Company,"['Chemical Plant', 'Chemical Supplier']"
7315070,Chicken Restaurant,[]
7372003,Child Care Facility,"['Day Care', 'Play School', 'Crèche', 'Nursery School', 'Nursery', 'Daycare', 'Daycare Center', 'Day Nursery']"
7315093,Chilean Restaurant,"['Chilean Food', 'Chilean Cuisine']"
7315012,Chinese Restaurant,"['Chinese Cuisine', 'Chinese Food']"
9361082,Christmas/Holiday Shop,"['Holiday Store', 'Chrismas Store', 'Christmas Shop', 'Christmas Store', 'Vacation Store', 'Christmas/Holiday Store', 'Holiday Shop', 'Xmas Store', 'Christmas/Vacation Store']"
7339002,Church,[]
7342002,Movie Theater,"['Picture House', 'Movie Theatre', 'The Pictures', 'Big Screen', 'Film House', 'Movie Hall', 'Cinema', 'Movie House', 'Picture Theatre', 'The Movies', 'Cinema Hall', 'Movies', 'Silver Screen', 'Picture Theater']"
9352029,Cleaning Services,['Cleaners']
9361004,Children's Clothes,"[""Kids' Clothes""]"
9361005,Footwear & Shoe Repairs,[]
9361006,Clothing Shop,"['Apparel', 'Clothing Store', 'Apparel Store', 'Clothes Shop', 'Clothing hop', 'Clothes Store', 'Clothes']"
9361007,Men's Clothing,"[""Men's Clothes"", 'Menswear']"
9361079,Specialty Clothing Shop,['Specialty Clothing Store']
9361008,Women's Clothing,"['Womenswear', ""Women's Clothes""]"
9942005,Coach Stop,['Coach Terminus']
9379006,Cocktail Bar,"['Cocktail', 'Cocktails']"
9376006,Coffee Shop,"['Coffee House', 'Coffeehouse', 'Coffeeshop']"
7377002,College/University,"['Tertiary Education', 'University', 'College', 'Uni']"
7315094,Colombian Restaurant,"['Colombian Cuisine', 'Colombian Food']"
